Team,Region,Seed,Rating,Slot
Florida,South,1,9060,64
Kansas,South,2,8750,78
Syracuse,South,3,8410,74
UCLA,South,4,8340,70
VCU,South,5,8310,68
Ohio St,South,6,8320,72
New Mexico,South,7,8040,76
Colorado,South,8,7380,66
Pittsburgh,South,9,8410,67
Stanford,South,10,7650,77
Dayton,South,11,7400,73
SF Austin,South,12,6770,69
Tulsa,South,13,6580,71
W Michigan,South,14,5920,75
Eastern Ky,South,15,5630,79
Albany,South,16,4670,130
Mt St Mary's,South,16,4130,131
Virginia,East,1,8680,80
Villanova,East,2,8640,94
Iowa St,East,3,8410,90
Michigan St,East,4,8490,86
Cincinnati,East,5,8060,84
N Carolina,East,6,7920,88
Connecticut,East,7,7970,92
Memphis,East,8,7450,82
Geo Wash,East,9,7640,83
Saint Joe's,East,10,7330,93
Providence,East,11,7410,89
Harvard,East,12,7640,85
Delaware,East,13,6290,87
NC Central,East,14,6290,91
UW-Milwaukee,East,15,5400,95
Coast Car,East,16,4710,81
Wichita St,Midwest,1,8840,96
Michigan,Midwest,2,8080,110
Duke,Midwest,3,8530,106
Louisville,Midwest,4,8820,102
Saint Louis,Midwest,5,7870,100
U Mass,Midwest,6,7810,104
Texas,Midwest,7,7420,108
Kentucky,Midwest,8,8490,98
Kansas St,Midwest,9,7390,99
Arizona St,Midwest,10,7570,109
Iowa,Midwest,11,8130,210
Tennessee,Midwest,11,7860,211
NC State,Midwest,12,6970,202
Xavier,Midwest,12,7400,203
Manhattan,Midwest,13,6700,103
Mercer,Midwest,14,6240,107
Wofford,Midwest,15,4980,111
Cal Poly,Midwest,16,4750,194
Texas So,Midwest,16,3830,195
Arizona,West,1,9120,112
Wisconsin,West,2,8470,126
Creighton,West,3,8380,122
San Diego St,West,4,8130,118
Oklahoma,West,5,8040,116
Baylor,West,6,7650,120
Oregon,West,7,8230,124
Gonzaga,West,8,8050,114
Oklahoma St,West,9,8300,115
BYU,West,10,7480,125
Nebraska,West,11,7150,121
No Dakota St,West,12,7010,117
New Mexico St,West,13,6650,119
UL-Lafayette,West,14,5850,123
American,West,15,5670,127
Weber St,West,16,5250,113
