Team,Region,Seed,Rating,Slot
Florida,South,1,9476,64
Kansas,South,2,9108,78
Syracuse,South,3,8925,74
UCLA,South,4,8885,70
VCU,South,5,8972,68
Ohio St,South,6,8828,72
New Mexico,South,7,8570,76
Colorado,South,8,7502,66
Pittsburgh,South,9,8841,67
Stanford,South,10,8181,77
Dayton,South,11,7835,73
SF Austin,South,12,7642,69
Tulsa,South,13,7430,71
W Michigan,South,14,6183,75
Eastern Ky,South,15,5776,79
Albany,South,16,4581,130
Mt St Mary's,South,16,4391,131
Virginia,East,1,9418,80
Villanova,East,2,9196,94
Iowa St,East,3,8758,90
Michigan St,East,4,9038,86
Cincinnati,East,5,8701,84
N Carolina,East,6,8645,88
Connecticut,East,7,8688,92
Memphis,East,8,8020,82
Geo Wash,East,9,8017,83
Saint Joe's,East,10,7935,93
Providence,East,11,8117,89
Harvard,East,12,8402,85
Delaware,East,13,6366,87
NC Central,East,14,7188,91
UW-Milwaukee,East,15,4891,95
Coast Car,East,16,3552,81
Wichita St,Midwest,1,9399,96
Michigan,Midwest,2,8935,110
Duke,Midwest,3,9126,106
Louisville,Midwest,4,9515,102
Saint Louis,Midwest,5,8287,100
U Mass,Midwest,6,7860,104
Texas,Midwest,7,8137,108
Kentucky,Midwest,8,8844,98
Kansas St,Midwest,9,8041,99
Arizona St,Midwest,10,8009,109
Iowa,Midwest,11,8609,210
Tennessee,Midwest,11,8968,211
NC State,Midwest,12,7462,202
Xavier,Midwest,12,8074,203
Manhattan,Midwest,13,7433,103
Mercer,Midwest,14,6579,107
Wofford,Midwest,15,4482,111
Cal Poly,Midwest,16,4697,194
Texas So,Midwest,16,3474,195
Arizona,West,1,9540,112
Wisconsin,West,2,9000,126
Creighton,West,3,9121,122
San Diego St,West,4,8787,118
Oklahoma,West,5,8538,116
Baylor,West,6,8492,120
Oregon,West,7,8524,124
Gonzaga,West,8,8804,114
Oklahoma St,West,9,8780,115
BYU,West,10,7919,125
Nebraska,West,11,7977,121
No Dakota St,West,12,7713,117
New Mexico St,West,13,7325,119
UL-Lafayette,West,14,6106,123
American,West,15,6608,127
Weber St,West,16,4782,113
