Team,Region,Seed,Rating,Slot
Florida,South,1,6701,64
Kansas,South,2,6560,78
Syracuse,South,3,6204,74
UCLA,South,4,6201,70
VCU,South,5,6220,68
Ohio St,South,6,6079,72
New Mexico,South,7,6187,76
Colorado,South,8,5964,66
Pittsburgh,South,9,5875,67
Stanford,South,10,5835,77
Dayton,South,11,5824,73
SF Austin,South,12,5688,69
Tulsa,South,13,5589,71
W Michigan,South,14,5591,75
Eastern Ky,South,15,5367,79
Albany,South,16,4898,130
Mt St Mary's,South,16,4851,131
Virginia,East,1,6333,80
Villanova,East,2,6406,94
Iowa St,East,3,6344,90
Michigan St,East,4,6156,86
Cincinnati,East,5,6123,84
N Carolina,East,6,6061,88
Connecticut,East,7,6087,92
Memphis,East,8,5952,82
Geo Wash,East,9,6012,83
Saint Joe's,East,10,5944,93
Providence,East,11,5822,89
Harvard,East,12,5782,85
Delaware,East,13,5591,87
NC Central,East,14,5351,91
UW-Milwaukee,East,15,5171,95
Coast Car,East,16,4854,81
Wichita St,Midwest,1,6437,96
Michigan,Midwest,2,6276,110
Duke,Midwest,3,6346,106
Louisville,Midwest,4,6125,102
Saint Louis,Midwest,5,6057,100
U Mass,Midwest,6,6116,104
Texas,Midwest,7,5918,108
Kentucky,Midwest,8,6173,98
Kansas St,Midwest,9,5745,99
Arizona St,Midwest,10,5810,109
Iowa,Midwest,11,5705,210
Tennessee,Midwest,11,5835,211
NC State,Midwest,12,5707,202
Xavier,Midwest,12,5776,203
Manhattan,Midwest,13,5640,103
Mercer,Midwest,14,5504,107
Wofford,Midwest,15,5032,111
Cal Poly,Midwest,16,4783,194
Texas So,Midwest,16,4613,195
Arizona,West,1,6664,112
Wisconsin,West,2,6382,126
Creighton,West,3,6280,122
San Diego St,West,4,6170,118
Oklahoma,West,5,6041,116
Baylor,West,6,5987,120
Oregon,West,7,6040,124
Gonzaga,West,8,6114,114
Oklahoma St,West,9,5804,115
BYU,West,10,5961,125
Nebraska,West,11,5775,121
No Dakota St,West,12,5928,117
New Mexico St,West,13,5565,119
UL-Lafayette,West,14,5429,123
American,West,15,5197,127
Weber St,West,16,5069,113
